seq,court,courtCode,title,rocYear,adYear,caseWord,caseNum,caseType,docType,rocDate,adDate,reason,size,judgmentId
202,臺灣桃園地方法院,TYD,臺灣桃園地方法院 108 年度 智訴 字第 7 號刑事裁定,108,2019,智訴,7,刑事,裁定,112.06.08,2023-06-08,違反營業秘密法等,,"TYDM,108,智訴,7,20230608,6"
203,臺灣桃園地方法院,TYD,臺灣桃園地方法院 109 年度 智訴 字第 2 號刑事裁定,109,2020,智訴,2,刑事,裁定,112.05.22,2023-05-22,違反營業秘密法等,,"TYDM,109,智訴,2,20230522,6"
204,臺灣桃園地方法院,TYD,臺灣桃園地方法院 110 年度 智訴 字第 10 號刑事宣示筆錄,110,2021,智訴,10,刑事,其他,112.05.16,2023-05-16,違反營業秘密法等,,"TYDM,110,智訴,10,20230516,1"
205,臺灣桃園地方法院,TYD,臺灣桃園地方法院 106 年度 智訴 字第 6 號刑事裁定,106,2017,智訴,6,刑事,裁定,112.05.05,2023-05-05,違反營業秘密法等,,"TYDM,106,智訴,6,20230505,3"
206,臺灣桃園地方法院,TYD,臺灣桃園地方法院 106 年度 智訴 字第 6 號刑事判決,106,2017,智訴,6,刑事,判決,112.05.05,2023-05-05,違反營業秘密法等,,"TYDM,106,智訴,6,20230505,2"
207,臺灣桃園地方法院,TYD,臺灣桃園地方法院 111 年度 智重訴 字第 7 號刑事裁定,111,2022,智重訴,7,刑事,裁定,112.05.01,2023-05-01,違反營業秘密法等,,"TYDM,111,智重訴,7,20230501,3"
208,臺灣桃園地方法院,TYD,臺灣桃園地方法院 106 年度 智訴 字第 6 號刑事裁定,106,2017,智訴,6,刑事,裁定,112.02.23,2023-02-23,違反營業秘密法等,,"TYDM,106,智訴,6,20230223,1"
209,臺灣桃園地方法院,TYD,臺灣桃園地方法院 111 年度 智重訴 字第 7 號刑事裁定,111,2022,智重訴,7,刑事,裁定,112.01.16,2023-01-16,違反營業秘密法等,,"TYDM,111,智重訴,7,20230116,2"
210,臺灣桃園地方法院,TYD,臺灣桃園地方法院 111 年度 智重訴 字第 8 號刑事判決,111,2022,智重訴,8,刑事,判決,111.12.23,2022-12-23,違反營業秘密法,,"TYDM,111,智重訴,8,20221223,1"
211,臺灣桃園地方法院,TYD,臺灣桃園地方法院 111 年度 智重訴 字第 6 號刑事裁定,111,2022,智重訴,6,刑事,裁定,111.12.07,2022-12-07,違反營業秘密法等,,"TYDM,111,智重訴,6,20221207,2"
212,臺灣桃園地方法院,TYD,臺灣桃園地方法院 109 年度 智訴 字第 2 號刑事裁定,109,2020,智訴,2,刑事,裁定,111.10.13,2022-10-13,違反營業秘密法等,,"TYDM,109,智訴,2,20221013,5"
213,臺灣桃園地方法院,TYD,臺灣桃園地方法院 111 年度 智重訴 字第 2 號刑事裁定,111,2022,智重訴,2,刑事,裁定,111.10.04,2022-10-04,違反營業秘密法等,,"TYDM,111,智重訴,2,20221004,2"
214,臺灣桃園地方法院,TYD,臺灣桃園地方法院 111 年度 智重訴 字第 7 號刑事裁定,111,2022,智重訴,7,刑事,裁定,111.07.14,2022-07-14,違反營業秘密法等,,"TYDM,111,智重訴,7,20220714,1"
215,臺灣桃園地方法院,TYD,臺灣桃園地方法院 110 年度 智訴 字第 4 號刑事裁定,110,2021,智訴,4,刑事,裁定,111.06.13,2022-06-13,違反營業秘密法,,"TYDM,110,智訴,4,20220613,1"
